orientation,normalized_yield_stress,r_value
0,1.000,1.34
15,1.0001665119037648,1.271173018690927
30,0.999079625553215,1.1557126704404725
45,0.995,1.13
60,0.9875513958649085,1.2361005668578775
75,0.9792682269966281,1.4106580767776342
90,0.975,1.50
EB,1.118,0.88
