orientation,normalized_yield_stress,r_value
0,1.0,0.691
15,0.9905833716123106,0.760
30,0.9812815801561783,0.888
45,0.9915020670647681,1.050
60,1.0034451079467157,1.080
75,1.0177997243913643,1.020
90,1.0312356453835554,0.959
EB,0.986,0.6976096626444515
