strain,stress
0.1286,311.63
0.1289,301.88
0.1289,304.83
0.1290,300.71
0.1289,303.88
0.1289,308.04
0.1290,304.55
0.1324,303.79
0.1325,307.01
0.1325,310.75
0.1326,308.29
0.1325,307.54
0.1326,303.53
0.1325,302.80
0.1325,306.14
0.1326,309.87
0.1327,301.88
0.1326,306.08
0.1326,309.00
0.1327,303.24
0.1326,305.87
0.1326,310.14
0.1327,307.94
0.1326,307.22
0.1326,310.26
0.1327,308.67
0.1327,311.58
0.1328,306.90
0.1327,310.81
0.1328,309.69
0.1328,306.43
0.1341,304.88
0.1341,308.42
0.1341,311.47
0.1350,306.17
0.1357,310.63
0.1359,306.61
0.1373,304.60
0.1373,307.91
0.1373,312.03
0.1375,310.13
0.1378,310.07
0.1379,313.31
0.1379,311.98
0.1379,305.46
0.1379,309.62
0.1379,312.68
0.1380,309.73
0.1380,309.18
0.1380,313.26
0.1381,310.60
0.1380,309.15
0.1380,312.42
0.1381,311.18
0.1380,310.75
0.1380,314.34
0.1380,310.54
0.1380,307.23
0.1380,311.26
0.1381,305.15
0.1380,308.37
0.1380,312.50
0.1380,315.60
0.1381,305.40
0.1380,308.67
0.1380,312.79
0.1381,310.61
0.1380,309.19
0.1380,312.50
0.1380,315.76
0.1380,306.87
0.1380,311.26
0.1380,313.80
0.1381,306.80
0.1380,310.21
0.1380,314.22
0.1381,315.09
0.1381,313.90
0.1380,315.00
0.1380,317.04
0.1385,311.72
0.1422,309.53
0.1422,312.73
0.1422,316.84
0.1427,307.71
0.1429,311.71
0.1429,314.38
0.1430,313.95
0.1430,312.20
0.1430,316.47
0.1431,312.81
0.1430,310.16
0.1430,313.28
0.1430,317.30
0.1431,313.89
0.1431,311.53
0.1431,314.00
0.1431,318.38
0.1431,313.23
0.1431,316.08
0.1431,316.82
0.1431,319.40
0.1431,309.99
0.1431,313.62
0.1431,316.91
0.1432,314.39
0.1431,311.17
0.1431,314.38
0.1431,318.31
0.1432,316.74
0.1431,316.68
0.1431,317.24
0.1431,318.39
0.1432,313.13
0.1431,312.00
0.1431,316.14
0.1431,319.18
0.1432,313.17
0.1431,315.45
0.1432,320.13
0.1432,309.04
0.1431,313.64
0.1431,316.19
0.1431,320.54
0.1431,311.99
0.1431,316.13
0.1431,318.28
0.1432,311.89
0.1431,314.96
0.1431,319.02
0.1433,314.38
0.1432,310.61
0.1431,313.81
0.1431,317.91
0.1432,315.75
0.1431,314.83
0.1431,317.90
0.1432,317.27
0.1431,316.26
0.1432,316.74
0.1432,310.17
0.1431,314.10
0.1432,317.26
0.1432,311.66
0.1432,314.06
0.1431,319.06
0.1432,314.86
0.1431,311.88
0.1431,315.90
0.1432,314.73
0.1432,312.79
0.1432,316.64
0.1432,319.73
0.1433,310.28
0.1432,313.53
0.1431,317.67
0.1432,320.59
0.1433,309.42
0.1432,312.60
0.1432,316.83
0.1433,315.45
0.1433,313.62
0.1433,316.34
0.1433,320.32
0.1435,308.49
0.1433,312.06
0.1433,316.01
0.1435,310.10
0.1434,313.18
0.1434,317.25
0.1434,319.51
0.1434,315.22
0.1434,318.04
0.1463,311.45
0.1465,314.65
0.1466,313.86
0.1482,312.91
0.1482,317.22
0.1483,320.24
0.1484,312.23
0.1483,314.60
0.1483,319.63
0.1483,322.43
0.1484,317.59
0.1483,320.92
0.1484,317.11
0.1523,315.09
0.1523,319.82
0.1523,322.98
0.1524,326.40
0.1528,315.39
0.1529,319.52
0.1530,322.65
0.1531,313.67
0.1531,316.75
0.1531,320.94
0.1531,322.03
0.1531,317.25
0.1531,320.52
0.1530,324.50
0.1536,315.40
0.1540,319.60
0.1541,322.72
0.1541,320.17
0.1541,323.11
0.1542,313.85
0.1541,316.98
0.1542,320.22
0.1542,323.71
0.1543,317.14
0.1542,320.44
0.1542,324.33
0.1543,321.21
0.1543,317.58
0.1543,320.82
0.1544,324.57
0.1560,315.58
0.1574,320.19
0.1574,323.42
0.1575,327.06
0.1578,321.53
0.1579,325.06
0.1580,314.46
0.1578,317.63
0.1579,321.05
0.1579,325.01
0.1579,322.56
0.1579,321.64
0.1579,324.77
0.1579,327.41
0.1580,319.38
0.1579,324.33
0.1581,319.25
0.1580,315.84
0.1580,318.38
0.1580,323.21
0.1580,321.11
0.1579,319.83
0.1579,322.99
0.1580,325.14
0.1580,319.79
0.1580,323.97
0.1580,326.93
0.1581,318.33
0.1580,321.67
0.1580,325.38
0.1580,322.74
0.1580,320.63
0.1580,323.97
0.1580,325.73
0.1579,326.71
0.1581,316.95
0.1580,319.80
0.1580,323.80
0.1581,321.17
0.1581,318.29
0.1580,321.64
0.1580,325.47
0.1581,322.29
0.1580,320.00
0.1580,322.60
0.1580,327.18
0.1581,319.92
0.1580,323.97
0.1580,326.39
0.1581,321.33
0.1580,324.24
0.1580,327.62
0.1580,317.95
0.1580,322.52
0.1580,325.81
0.1581,318.61
0.1580,320.47
0.1580,324.05
0.1580,327.44
0.1581,317.59
0.1580,319.90
0.1580,324.94
0.1580,327.45
0.1580,318.69
0.1580,321.93
0.1580,326.23
0.1581,317.54
0.1580,321.68
0.1580,324.93
0.1581,321.76
0.1593,318.09
0.1593,322.81
0.1593,326.16
0.1596,320.21
0.1598,323.86
0.1598,327.71
0.1599,326.81
0.1599,326.02
0.1599,328.82
0.1600,322.46
0.1599,325.65
0.1599,328.34
0.1600,320.47
0.1600,324.55
0.1600,327.57
0.1600,328.66
0.1600,329.25
0.1600,329.99
0.1600,327.57
0.1600,326.61
0.1600,326.56
0.1600,330.49
0.1600,329.03
0.1600,327.28
0.1600,327.81
0.1600,330.87
0.1601,327.21
0.1600,328.82
0.1600,328.70
0.1600,329.28
0.1601,327.50
0.1600,330.25
0.1600,328.45
0.1601,329.38
0.1601,330.81
0.1601,329.36
0.1601,323.99
0.1601,321.11
0.1601,324.54
0.1602,323.06
0.1601,320.87
0.1601,324.88
0.1601,328.23
0.1602,321.79
0.1601,324.28
0.1601,328.84
0.1601,331.81
0.1601,328.39
0.1601,330.52
0.1602,321.98
0.1601,325.18
0.1602,324.19
0.1601,321.88
0.1601,326.50
0.1601,329.43
0.1602,323.21
0.1622,323.09
0.1622,327.29
0.1622,330.19
0.1642,323.32
0.1649,327.61
0.1649,330.81
0.1660,320.64
0.1670,325.10
0.1670,328.36
0.1671,331.37
0.1671,331.80
0.1673,321.67
0.1672,326.11
0.1672,330.32
0.1673,327.36
0.1672,325.44
0.1673,328.40
0.1672,332.77
0.1673,327.12
0.1672,324.73
0.1672,328.72
0.1673,327.35
0.1672,324.96
0.1672,329.18
0.1672,332.17
0.1672,333.32
0.1673,323.50
0.1673,327.52
0.1673,330.55
0.1673,334.18
0.1674,324.66
0.1674,328.86
0.1674,331.11
0.1676,323.89
0.1677,327.16
0.1678,331.22
0.1679,329.02
0.1686,326.14
0.1686,329.52
0.1686,333.45
0.1695,325.14
0.1702,329.29
0.1702,332.39
0.1703,328.59
0.1725,328.35
0.1726,332.68
0.1727,330.23
0.1743,328.26
0.1757,331.99
0.1757,335.87
0.1772,330.98
0.1788,330.95
0.1788,334.94
0.1790,331.16
0.1828,328.70
0.1829,332.87
0.1829,336.14
0.1846,329.72
0.1861,333.59
0.1862,337.46
0.1863,334.59
0.1890,335.20
0.1890,338.63
0.1891,341.83
0.1913,331.64
0.1931,336.39
0.1931,339.64
0.1932,337.96
0.1932,340.20
0.1933,338.54
0.1955,335.27
0.1956,340.60
0.1957,343.44
0.1969,335.07
0.1980,338.88
0.1981,343.02
0.1982,339.77
0.1997,338.42
0.1998,341.58
0.1998,345.38
0.2004,335.94
0.2007,340.42
0.2007,343.57
0.2011,335.44
0.2012,338.77
0.2012,343.13
0.2013,345.41
0.2014,337.75
0.2015,341.12
0.2015,345.14
0.2016,341.67
0.2016,340.89
0.2016,344.12
0.2018,332.11
0.2015,336.08
0.2015,340.26
0.2015,343.37
0.2016,336.07
0.2016,339.49
0.2015,343.54
0.2016,340.52
0.2016,338.62
0.2016,340.87
0.2017,339.10
0.2015,335.60
0.2016,339.85
0.2016,343.04
0.2016,335.89
0.2015,338.90
0.2015,343.13
0.2016,340.99
0.2016,338.44
0.2016,341.68
0.2016,345.57
0.2017,339.41
0.2016,336.84
0.2016,340.12
0.2016,344.47
0.2017,340.66
0.2016,336.01
0.2016,341.32
0.2015,345.33
0.2016,340.52
0.2016,337.97
0.2016,341.13
0.2016,345.22
0.2018,334.94
0.2018,338.21
0.2017,342.56
0.2019,336.11
0.2019,339.28
0.2019,343.60
0.2020,346.63
0.2020,335.89
0.2020,340.20
0.2020,344.35
0.2021,338.42
0.2020,337.55
0.2020,341.04
0.2020,345.27
0.2020,336.65
0.2020,340.98
0.2020,343.95
0.2020,347.27
0.2021,337.23
0.2020,342.27
0.2020,345.64
0.2021,334.89
0.2020,338.17
0.2020,342.54
0.2020,345.63
0.2021,335.53
0.2020,339.04
0.2020,343.00
0.2020,340.39
0.2020,339.11
0.2020,342.22
0.2021,339.68
0.2020,337.60
0.2020,341.84
0.2020,344.93
0.2021,336.57
0.2020,338.73
0.2020,343.92
0.2020,343.45
0.2020,344.01
0.2021,342.59
0.2020,341.92
0.2020,344.59
0.2021,342.95
0.2021,345.04
0.2021,335.93
0.2021,339.10
0.2021,341.19
0.2020,337.25
0.2020,341.57
0.2020,344.63
0.2021,335.88
0.2020,339.04
0.2020,343.24
0.2021,344.56
0.2021,337.59
0.2021,340.63
0.2021,343.38
0.2021,341.63
0.2020,340.43
0.2020,343.54
0.2020,346.16
0.2021,334.92
0.2020,337.82
0.2020,341.48
0.2021,338.81
0.2020,339.04
0.2021,341.89
0.2020,345.12
0.2021,337.06
0.2020,341.74
0.2020,344.45
0.2021,342.03
0.2020,338.16
0.2020,341.70
0.2020,346.16
0.2021,338.46
0.2020,342.05
0.2021,345.60
0.2021,342.00
0.2020,339.04
0.2020,342.70
0.2020,345.33
0.2020,344.99
0.2021,340.73
0.2020,339.22
0.2021,342.90
0.2021,346.30
0.2022,337.43
0.2021,341.03
0.2021,344.74
0.2022,341.98
0.2022,339.53
0.2021,342.77
0.2021,346.61
0.2021,343.74
0.2021,341.29
0.2021,345.09
0.2021,347.90
0.2021,339.60
0.2021,343.22
0.2021,346.98
0.2022,337.63
0.2021,340.59
0.2021,345.35
0.2022,341.46
0.2021,337.24
0.2021,340.03
0.2021,344.66
0.2022,336.74
0.2021,340.42
0.2021,344.05
0.2022,338.75
0.2021,338.79
0.2021,342.47
0.2021,345.87
0.2021,337.60
0.2021,342.64
0.2021,346.26
0.2022,338.62
0.2021,341.47
0.2021,345.89
0.2022,342.52
0.2021,340.94
0.2021,343.65
0.2021,342.05
0.2021,338.29
0.2020,342.97
0.2020,345.69
0.2021,343.36
0.2021,340.27
0.2021,344.81
0.2021,347.45
0.2022,339.05
0.2021,341.76
0.2021,346.39
0.2021,342.70
0.2020,341.09
0.2020,343.80
0.2021,341.21
0.2021,338.51
0.2021,343.25
0.2021,344.91
0.2023,335.63
0.2021,338.50
0.2021,342.81
0.2021,345.22
0.2021,344.92
0.2021,346.56
0.2022,341.45
0.2021,340.37
0.2021,344.78
0.2021,347.37
0.2022,339.62
0.2021,343.04
0.2021,347.63
0.2022,338.52
0.2021,342.12
0.2021,345.60
0.2021,349.19
