orientation,normalized_yield_stress,r_value
0,1.0000,0.69935
15,1.0048313808411065,0.70275
30,0.9750849120636643,0.7424
45,0.9995029309557322,0.77555
60,1.0112791575683644,0.78975
75,1.0041233944976335,0.7594
90,1.008336056739504,0.7748
EB,0.6179094836126974,1.112
